,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
76,block,6,8,True,True,-0.9706169065178974,4.0,two-sided,0.3867019000545592,1.0,bonf,0.565,-0.2468343397937595
77,block,6,9,True,True,-0.48392048926534,4.0,two-sided,0.6537422885448827,1.0,bonf,0.437,-0.19147802505430558
78,block,6,10,True,True,0.8600081623013435,4.0,two-sided,0.4382758010579488,1.0,bonf,0.528,0.2678424160904436
79,block,6,11,True,True,1.0286813774117658,4.0,two-sided,0.36176322318828047,1.0,bonf,0.587,0.3856054935176589
80,block,6,12,True,True,2.2550485613292963,4.0,two-sided,0.08715663804371622,1.0,bonf,1.499,0.4533743919255806
81,block,6,13,True,True,0.3097181498702045,4.0,two-sided,0.772239583334202,1.0,bonf,0.414,0.1380981427139697
82,block,6,14,True,True,1.9232684084285814,4.0,two-sided,0.1267935867976332,1.0,bonf,1.156,0.6418681843266356
83,block,6,15,True,True,1.8391167131335473,4.0,two-sided,0.13974152090873657,1.0,bonf,1.081,0.6728385196424974
84,block,7,8,True,True,-0.5827715174143584,4.0,two-sided,0.5913196318668539,1.0,bonf,0.456,-0.1435622167657597
85,block,7,9,True,True,-0.40824829046386324,4.0,two-sided,0.7039999999999997,1.0,bonf,0.426,-0.08976330232257247
86,block,7,10,True,True,1.341250944624289,4.0,two-sided,0.25093087191499264,1.0,bonf,0.734,0.3722250155986055
87,block,7,11,True,True,1.5622669317698865,4.0,two-sided,0.1932570220972523,1.0,bonf,0.87,0.5219309243460449
88,block,7,12,True,True,2.2199640068100295,4.0,two-sided,0.09061587838013536,1.0,bonf,1.458,0.5965222319024411
89,block,7,13,True,True,1.197741088277061,4.0,two-sided,0.29713781270575046,1.0,bonf,0.661,0.27526499569819285
90,block,7,14,True,True,2.873684832428399,4.0,two-sided,0.04530014395444604,1.0,bonf,2.38,0.8343642599901699
91,block,7,15,True,True,2.30704828655035,4.0,two-sided,0.08229876800917182,1.0,bonf,1.56,0.8001404567984067
92,block,8,9,True,True,0.23249527748763835,4.0,two-sided,0.8275647196020319,1.0,bonf,0.406,0.04962704245888102
93,block,8,10,True,True,1.9829334059148238,4.0,two-sided,0.11840356370024288,1.0,bonf,1.211,0.5114441915116843
94,block,8,11,True,True,3.585685828003181,4.0,two-sided,0.0230503650132438,1.0,bonf,3.861,0.7165550704714101
95,block,8,12,True,True,4.307227410030049,4.0,two-sided,0.01257355443568724,1.0,bonf,5.974,0.8029559884677733
96,block,8,13,True,True,1.6562981139083928,4.0,two-sided,0.17300275012392607,1.0,bonf,0.936,0.4781620377601748
